,lemmas,real phrases,generated phrases
48,"Caperucita, se, entretener, coger, flores, para, abuelita",Caperucita se entretuvo cogiendo flores para la abuelita.,La caperucita se entretiene a coger flores para abuelita
49,"mamá, bañar, bebé",La mamá baña al bebé.,mamá baña al bebé
50,"mamá, cortar, barriga, de, lobo",Mamá corta la barriga del lobo.,mamá corta la barriga de lobo
51,"ratita, barrer, su, casita",La ratita barre su casita.,La ratita barrerá su casita
52,"madrastra, no, dejar, ir, Cenicienta, a, fiesta",La madrastra no deja ir a Cenicienta a la fiesta.,La madrastra no deja ir a la fiesta
53,"chico, nadar, río",El chico nada en el rio.,El chico nadó en el río
54,"niño, jugar, con, tren",El niño juega con el tren.,El niño juega con el tren
55,"este, ser, Ricitos, de, Oro",Esta es Ricitos de Oro.,Este es un ricito de oro
56,"mono, pensar, plátano",El mono piensa en un plátano.,El plátano piensa
57,"tenedor, estar, comedor",El tenedor está en el comedor.,El tenedor está comiendo
58,"guitarra, estar, carro",La guitarra está en el carro.,La guitarra está en el carro
59,"niña, jugar, fichas",La niña juega con las fichas.,La niña está jugando con las fichas
60,"este, ser, tres, cerditos",Estos son los tres cerditos.,Este ser tres cerditos
61,"tomar, este, tomate",Toma este tomate.,Estoy tomando este tomate
62,"tirar, ventana",Las tiró por la ventana.,Estoy tirando la ventana
63,"niña, entrar, tren",La niña entra al tren.,La niña entra en el tren
64,"señor, Pondio, cuidar, animales",El señor Pondio cuida de los animals.,El señor pondio a cuidar a los animales
65,"yo, me, bañar, agua, con, jabón",Yo me baño con agua y con jabón.,
66,"tren, ir, carretera",El tren va por la carretera.,El tren va por la carretera
67,"niño, mirar, estrellas, con, telescopio",El niño mira las estrellas con el telescopio.,El niño miraba las estrellas con su telescopio
68,"niña, escuchar, música",La niña escucha música.,La niña escucha música
69,"domingo, de, ramos, ir, ver, borriquita",El domingo de ramos vamos a ver la borriquita.,"El domingo, los ramos van a ver la borriquita"
70,"niño, se, subir, rocas",El niño se sube a las rocas.,El niño se sube a las rocas
71,"esquimal, vivir, cabaña",El esquimal vive en una cabaña.,El esquimal vive en la cabaña
72,"gato, besar, ratita",El gato besa a la ratita.,El gato besará a la ratita
73,"yo, bañar, en, fregadero",Yo me baño en el fregadero.,Yo me baño en el fregadero
74,"niño, ir, panadería",Niño va a la panadería.,El niño va a la panadería
75,"perra, tener, cachorros",La perra tuvo cachorros.,La perra tiene cachorros
76,"niños, saltar, cama",Los niños saltan en la cama.,Los niños saltan en la cama
77,"abuelita, qué, ojos, grande, tener",Abuelita qué ojos grandes tienes.,Mi abuelita tiene ojos grandes
78,"lobo, feroz, seguir, Caperucita",El lobo feroz siguió a Caperucita.,El lobo feroz sigue a Caperucita
79,"avión, volar, encima, nubes",El avión vuela encima de las nubes.,El avión volaba por encima de las nubes
80,"dos, coche, chocar, en, cielo",Dos coches chocan en el cielo.,Dos coches chocan en el cielo
81,"Marina, ser, bailarín",Marina es bailarina.,Marina es bailarín
82,"Ricitos, de, Oro, tener, pelo, rubio",Ricitos de Oro tiene el pelo rubio.,
83,"cerditos, vivir, feliz",Los cerditos viven felices.,Los cerditos viven felices
84,"un, señora, viejecito, le, dar, un, borrador, mágico",Una señora viejecita les dio un borrador mágico.,La señora viejecita le da un borrador mágico
85,"pájaro, volar, cielo",El pájaro vuela por el cielo.,Los pájaros vuelan por el cielo
86,"niño, jugar, pala, cubo",El niño juega con la pala y el cubo.,El niño está jugando con una pala de cubo
87,"Reyes, mago, ir, camello",Los Reyes magos van en camello.,Los Reyes mago van en camello
88,"niña, llevar, paraguas",La niña lleva un paraguas.,La niña lleva un paraguas
89,"libro, estuche, estar, dentro, mochila",El libro y el estuche están dentro de la mochila.,El libro está dentro de la mochila
90,"niño, ir, lanzar, un, bola, de, nieve",El niño va a lanzar una bola de nieve.,Voy a lanzar una bola de nieve
91,"Lolo, jugar, con, balón",Lolo juega con el balón.,Lolo juega con balón
92,"Tierra, ser, redondo",La Tierra es redonda.,La tierra es redondo
93,"qué, llevar, cesta, ?",¿qué llevas en la cesta?,Qué llevar en cesta?
94,"niños, jugar, pelota",Los niños juegan con la pelota.,Los niños juegan con una pelota
95,"lobo, querer, comer, abuela",El lobo quiere comer a la abuela.,El lobo quiere comer la abuela
96,"papá, conducir, un, avestruz",Papá conduce una avestruz.,Mi papá conduce un avestruz
97,"libélula, volar, lago",La libélula vuela en el lago.,La libélula volaba sobre el lago
98,"loro, mirar, caracol",El loro mira al caracol.,Los loros miran caracol
99,"bolsa, fruta, se, romper",La bolsa de la fruta se ha roto.,La bolsa de fruta se rompe
100,"Enrique, me, regalar, un, ramo, de, rosas",Enrique me regaló un ramo de rosas.,Enrique me regaló un ramo de rosas
101,"casa, paja, romper",La casa de paja se rompe.,La casa de paja se rompe
102,"Juán, se, llevar, gallina, arpa, mágico",Juán se llevó la gallina y el arpa mágica.,Juan se lleva una gallina arpa de magia
103,"osito, coger, plato, pequeño",El osito coge el plato pequeño.,El osito coge un plato pequeño
104,"niño, escuchar, pájaro",El niño escucha el pájaro.,El niño escucha un pájaro
105,"niño, nadar, en, piscina",El niño nada en la piscina.,El niño nadó en la piscina
106,"pez, nadar, mar",El pez nada en el mar.,El pez nadra en el mar
107,"bola, ser, como, pelota",La bola es como una pelota.,La bola es como pelota
108,"yo, dormir, en, lavadora",Yo duermo en la lavadora.,Yo duermo en la lavadora
109,"amigos, de, bruja, lo, ver, bailar",Los amigos de la bruja lo vieron bailar.,Los amigos de bruja se están viendo bailar
110,"ratita, guapo, te, querer, casar",Ratita guapa te quieres casar.,La ratita guapo quiere casar
111,"mariposa, se, poner, furioso",La mariposa se puso furiosa.,La mariposa se pone furiosa
112,"caer, sal, a, mantel",Cayó sal al mantel.,El niño cae en el mantel de la sal
113,"niña, estar, sentado, en, un, sillón, rojo",La niña está sentada en un sillón rojo.,
114,"bebé, pasear, en coche",El bebé pasea en el coche.,El bebé está paseando en su coche
115,"perro, ver, ratita",El perro ve a la ratita.,El perro ve a la ratita
116,"pez, nadar, en, bañera",El pez nada en la bañera.,El pez nadó en la bañera
117,"mamá, meter, piedras, en, barriga",Mamá mete piedras en la barriga.,Mamá metierá piedras en barriga
118,"niña, escribir, con, lápiz, en, papel",La niña escribe con un lápiz en el papel.,La niña escribe con lápiz en papel
119,"cabritillos, abrir, puerta",Los cabritillos abren la puerta.,Los cabritillos abren la puerta
120,"chico, comer, bocadillo, de, calamares, con, mayonesa",El chico come bocadillo de calamares con mayonesa.,Chico come bocadillo de calamares con mayonesa
121,"niños, jugar, barco, tren",Los niños juegan con el barco y el tren.,Los niños juegan con el barco y el tren
122,"gallo, cantar, noche",El gallo canta por la noche.,El gallo canta en la noche
123,"juan, bajar, planta",Juan bajó por la planta.,Juan baja a la planta
124,"pintor, pinta, en, mantel",El pintor pinta en el mantel.,El pintor pinta en mantel
125,"jirafa, correr, en, selva",La jirafa corre en la selva.,La jirafa corre en la selva
126,"esquimal, vivir, en, iglú",El esquimal vive en un iglú.,El esquimal vive en el iglu
127,"perro, gato, ser, pequeñitos",El perro y el gato son pequeñitos.,El perro y el gato son pequeñitos
128,"yo, jugar, parque, con, niños",Yo juego en el parque con los niños.,Yo juego en el parque con los niños
129,"abejas, volar, alrededor, flor, rosa",Las abejas vuelan alrededor de la flor rosa.,Las abejas vuelan alrededor de la flor de rosa
130,"nña, montar, triciclo",La niña monta en el triciclo.,Nña monta triciclo
131,"María, ir, carnicería",María va a la carnicería.,María va a la carnicería
132,"Juan, cambiar, vaca, por, habichuelas, mágico",Juan cambió la vaca por habichuelas mágicas.,Juan cambia la vaca por las habichuelas
133,"mirar, hilo, con, lupa",Miro el hilo con la lupa.,Mirar el hilo con una lupa
134,"ratita, encontrar, un, moneda",La ratita encuentra una moneda.,La ratita encontró un moneda
135,"me, gustar, filete, con, patatas",Me gusta el filete con patatas.,Me gusta el filete con patatas
136,"gallina, poner, huevos, de, oro",La gallina ponía huevos de oro.,La gallina pone huevos de oro
137,"delfines, tortuga, nadar, mar",Los delfines y la tortuga nadan en el mar.,Los delfines nadan en el mar
138,"niña, hablar, teléfono",La niña habla por teléfono.,La niña habla por teléfono
139,"mujer, coger, melocotones, de, árbol, con, su, cesto",La mujer coge melocotones del árbol con su cesto.,La mujer coge los melocotones de árbol con su cesto
140,"tren, ir, vía",El tren va por la vía.,El tren va por la vía
141,"rana, subir, rama",La rana subió a la rama.,La ranita sube a la rama
142,"niño, pesca, un, pez, pequeñito",El niño pesca un pez pequeñito.,El niño pesca un pez pequeñito
143,"moto, estar, taller",La moto está en el taller.,La moto está en el taller
144,"tortuga, nadar, en, mar",La tortuga nada en el mar.,El tortuga nadando en el mar
145,"su, madre, la, encontrar, llorar",Su madre la encontró llorando.,Su madre la encontró llorar
146,"lobo, querer, comer, cabritillos",El lobo quiere comer a los cabritillos.,El lobo quiere comer cabritillos
147,"perro, jugar, con, hueso",El perro juega con el hueso.,El perro juega con el hueso
148,"gato, dormir, encima, armario",El gato duerme encima del armario.,El gato duerme encima del armario
149,"caracol, se, poner, triste",El caracol se puso triste.,El caracol se puso triste
150,"niña, estar, sentado, escaleras",La niña está sentada en las escaleras.,La niña está sentada en la escalera
151,"perro, pasear, collar",El perro pasea con el collar.,El perro paseaba con el collar
152,"gato, dormir, encima, sofá",El gato duerme encima del sofá.,El gato duerme encima del sofá
153,"arreglar, tubería, con, tenazas",Arreglé la tubería con las tenazas.,Arreglar la tubería con tenazas
154,"gatos, dormir, debajo, árboles",Los gatos duermen debajo de los árboles.,Los gatos duermen debajo de los árboles
155,"yo, querer, jugar, ordenador",Yo quiero jugar al ordenador.,Yo quiero jugar con el ordenador
156,"cabritillo, pequeño, estar, reloj",El cabritillo pequeño está en el reloj.,El cabritillo pequeño está en el reloj
157,"papá, y, niño, pescar, con, caña, en, río",El papá y el niño pescan con la caña en el río.,Papá y niño pescando con caña en río
158,"lobo, llamar, puerta",El lobo llamó a la puerta.,El lobo llama a la puerta
159,"yo, jugar, en, parque, con, jabalí",Yo juego en el parque con el jabalí.,Yo juego en el parque con el jabalí
160,"niño, bajar, por, tobogán",El niño baja por el tobogán.,El niño baja por el tobogán
161,"niña, jugar, agua",La niña juega con el agua.,La niña juega con el agua
162,"niño, encender, luz",El niño enciende la luz.,El niño enciende la luz
163,"lobo, querer, comer, lo",El lobo quiere comerlo.,El lobo quiere comer lo que le gusta
164,"Ricitos, de, Oro, entrar, un, casa",Ricitos de Oro entra en una casa.,Ricitos de Oro entran en una casa
165,"lobo, se, relamer, pensar, cabritillos",El lobo se relamía pensando en los cabritillos.,El lobo se relamerá los cabritillos
166,"cerdo, vivir, en, granja",El cerdo vive en la granja.,El cerdo vive en la granja
167,"ogro, tener, un, arpa, mágico",El ogro tenía un arpa mágica.,El ogro tiene un arpa mágico
168,"planta, crecer",La planta creció.,La planta crece
169,"Juan, vivir, su, mamá",Juan vivía con su mamá.,Juan vive con su mamá
170,"ese, rey, ser, rusia",Ese rey es de rusia.,Ese rey es de Rusia
171,"niño, escuchar, música",El niño escucha música.,El niño escucha música
172,"niña, tener, manos, pintado",La niña tiene las manos pintadas.,La niña tiene manos pintadas
173,"solo, estudiar, vaca",Solo estudiaba la vaca.,Solo estudio la vaca
174,"niños, pintar, con, lapiz, azul, en, papel, blanco",Los niños pintan con un lapiz azul en papel blanco.,Los niños pintan con el lapiz azul en el papel blanco
175,"chica, nadar, mar",La chica nada en la piscina.,La chica nadaba en el mar
176,"yo, querer, jugar, con, fuego",Yo quiero jugar con el fuego.,Yo quiero jugar con fuego
177,"todos, quedar, sorprendido, de, su, disfraz, tan, bonito",Todos quedaron sorprendidos de su disfraz tan bonito.,Todos quedan sorprendidos de su disfraz tan bonito
178,"niña, comprar, con, carrito",La niña compra con el carrito.,La niña compra con el carrito
179,"lobo, se, acostar, en, cama",El lobo se acuesta en la cama.,"lobo se acostar en cama
"
180,"niños, jugar, fútbol",Los niños juegan al fútbol.,Los niños juegan al fútbol
181,"globo, volar, encima, montaña",El globo vuela encima de las montañas.,El globo volaba encima de la montaña
182,"niña, columpiar, en, columpio",La niña se columpia en el columpio.,La niña columpió en el columpio
183,"niña, nadar, biblioteca",La niña nada en la biblioteca.,La niña nadó en la biblioteca
184,"zapatería, tener, mucho, zapato",Esa zapatería tiene muchos zapatos.,La zapatería tiene mucho zapato
185,"papá, comprar, supermercado",El papá compra en el supermercado.,papá compra en el supermercado
186,"niño, escuchar, gato",El niño escucha el gato.,El niño escucha al gato
187,"burro, saludar, ratita",El burro saluda a la ratita.,El burro saludó a la ratita
188,"lagarto, estar, en, lavadora",El lagarto está en la lavadora.,El lagarto está en la lavadora
189,"yo, bañar, bañera",Yo me baño en la bañera.,Yo bañar en el bañera
190,"caballo, correr, mar",El caballo corre en el mar.,El caballo corre por el mar
191,"niña, pensar, bombilla",La niña piensa en una bombilla.,La niña piensa en el bombilla
192,"niños, ir, colegio, avión",Los niños van al colegio en avión.,Los niños van al colegio en avión
193,"ovejas, tener, mucho, lana",Las ovejas tienen mucha lana.,Las ovejas tienen mucho lana
194,"Luna, estar, cielo",La Luna está en el cielo.,Luna está en el cielo
195,"no, lo, cambiar",No lo cambiaré.,No lo cambié
196,"gusano, seda, se, enamorar, ella",El gusano de seda se enamoró de ella.,El gusano se enamoró de ella
197,"niño, mirar, mariposa, con, lupa",El niño mira la mariposa con la lupa.,El niño mira a la mariposa con la lupa
198,"Rosa, tener, ropa, rojo",Rosa tiene ropa roja.,Rosa tiene ropa rojo
199,"leñador, cazar, un, jabalí",El leñador cazó un jabalí.,El leñador cazaba un jabalí
200,"delfines, nadar, mar",Los delfines nadan en el mar.,Los delfines nadaban en el mar
201,"niño, estar, sentado, en, un, roca",La niña está sentada en una roca.,El niño está sentado en una roca
202,"Juan, se, encontrar, un, mago",Juan se encontró con un mago.,Juan se encuentra con un mago
203,"ir, casa, mia, abuela",Voy a casa de mi de abuela.,Ir a casa de abuela
204,"niños, aprender, colegio",Los niños aprenden en el colegio.,Los niños aprenden en el colegio
205,"niños, jugar, nieve",Los niños juegan con la nieve.,Los niños juegan en el nieve
206,"papá, leer, un, cuento, a, niña, en, cama",El papá lee un cuento a la niña en la cama.,papá lee un cuento a niña en cama
207,"perro, ir, carretera",El perro fue por la carretera.,El perro va por la carretera
208,"lunes, comer, lentejas",El lunes comeré lentejas.,Los lunes comen las lentejas
209,"niño, beber, botella",El niño bebe en la botella.,El niño bebe de la botella
210,"cabrita, pequeño, se, esconder, debajo, de, cama",La cabrita pequeña se escondió debajo de la cama.,La pequeña cabrita se escondió debajo de la cama
211,"Blancanieves, correr, bosque",Blancanieves corre al bosque.,Blanquería nieve en el bosque
212,"niños, jugar, hoja, de, árbol",Los niños juegan con las hojas de los árboles.,Los niños juegan con la hoja del árbol
213,"cerditos, estar, asustado",Los cerditos están asustados.,Los cerditos están asustados
214,"ogro, se, ir",El ogro se fue.,El ogro se va
215,"abuela, estar, armario",La abuela está en el armario.,La abuela está en el armario
216,"seis, cabritillos, salir, contento",Los seis cabritillos salen contentos.,Seis cabritillos salen contento
217,"abuelita, qué, boca, grande, tener",Abuelita qué boca grande tienes.,La abuelita tiene boca grande
218,"nño, jugar, barco",El niño juega con el barco.,El niño juega en el barco
219,"niño, escuchar, vaca",El niño escucha la vaca.,El niño escucha a la vaca
220,"dinero, estar, en, monedero",El dinero está en el monedero.,El dinero está en el monedero
221,"lobo, dormir",El lobo dormía.,lobo duerme
222,"mariposa, volar, por, campo",La mariposa vuela por el campo.,La mariposa vuela por el campo
223,"mamá, me, decir, hola, por, mañana",Mamá me dice hola por la mañana.,mamá me dice hola por mañana
224,"niño, montar, en, cerdo",El niño monta en el cerdo.,El niño monta en el cerdo
225,"niños, jugar, con, construcciones",Los niños juegan con las construcciones.,Los niños juegan con las construcciones
226,"su, mamá, se, enfadar",Su mamá se enfadó.,mamá se enfada con su mamá
227,"ogro, tener, un, gallina, mágico",El ogro tenía una gallina mágica.,El ogro tiene una gallina mágica
228,"tener, pata, blanco, como, mamá",Tiene la pata blanca como mamá.,Tener pata blanca como mamá
229,"yo, dormir, día",Yo duermo por el día.,Yo duermo en el día
230,"papá, oso, coger, plato, grande",Papá oso coge el plato grande.,El oso papá grande coger plato
231,"qué, llevar, cesta, ?",¿Qué llevas en la cesta?,Qué lleva la cesta ?
232,"Imanol, ir, hotel",Imanol va al hotel.,Imanol va al hotel
233,"Reyes, mago, ir, camello",Los Reyes Magos van en camello.,Los reyes magan en el camello
234,"lobo, comer, seis, cabritillos",El lobo come a seis cabritillos.,Los lobos comen seis cabritillos
235,"dos, niños, correr, mucho",Los dos niños corren mucho.,Dos niños corren mucho
236,"niño, escuchar, rana",El niño escucha a la rana.,El niño escucha a la rana
237,"alcalde, no, querer, pagar, flautista",El alcalde no quiso pagar al flautista.,Los alcaldes no quieren pagar a la flautista
238,"chico, flotar, churro",El chico flota con el churro.,El chico flota el churro
239,"me, picar, nariz, oreja",Me pica la nariz y la oreja.,Me pica las nariz de las orejas
240,"papá, nadar, en, piscina",Papá nada en la piscina.,Los papá nadan en la piscina
241,"niño, pasear, calle",El niño pasea por la calle.,El niño paseaba por la calle
242,"cerdito, ir, jugar",El cerdito va a jugar.,El cerdito va a jugar
243,"torero, mirar, toro",El torero mira al toro.,El torero mira al toro
244,"caracol, Ramó, no, saber, como, vestir, se",El caracol Ramón no sabe como vestirse.,El caracol no sabe cómo vestirse
245,"niña, escribir, arena",La niña escribe en la arena.,La niña escribe en la arena
246,"Marcelina, estar, montar, belén, en, su, casa",Marcelina está montando el belén en su casa.,Marcelina está montando en el belén de su casa
247,"Caperucita, asombrado, preguntar, abuela",Caperucita asombrada preguntó a la abuela.,La caperucita se asomaba a preguntar a la abuela
248,"pingüinos, patinar, nieve, con, gorros, bufandas",Los pingüinos patinan en la nieve con gorros y bufandas.,Los pingüinos están patinando en la nieve con los gorros de bufanda
249,"otro, hija, ser, Saturno",Otra hija era Saturno.,Otro hija es Saturno
250,"gallo, cantar, mañana",El gallo canta por la mañana.,El gallo canta mañana
251,"Oscar, estar, bar",Oscar está en el bar.,Oscar está en el bar
252,"gato, mirar, pez",El gato mira el pez.,El gato mira el pez
253,"niña, jugar, piedras",La niña juega con las piedras.,La niña juega con las piedras
254,"niña, patinar, patines, casco",La niña patina con los patines y el casco.,La niña está patinando en los patines con el casco
255,"avión, rojo, volar, encima, nubes",El avión rojo vuela encima de las nubes.,El avión rojo vuela encima de las nubes
256,"papá, abrir, puerta, de, coche, con, llave",El papá abre la puerta del coche con la llave.,El papá abre la puerta del coche con la llave
257,"Dorita, vivir, un, granja, con, su, tíos, su, perrito, Totó",Dorita vivía en una granja con sus tíos y su perrito Totó.,Dorita vive en una granja con sus tíos y su perrito Totó
258,"libro, estuche, estar, dentro, horno",El libro y el estuche están dentro del horno.,El libro está dentro del horno
259,"alguien, romper, silla, pequeño",Alguien ha roto la silla pequeña.,Alguien rompe la silla pequeña
260,"mamá, cabra, ir, comprar",Mamá cabra va a comprar.,La mamá de los cabros va a comprar
261,"niño, leer, cuento, pinocho",El niño lee el cuento de pinocho.,El niño está leyendo el cuento de pinocho
262,"niña, subir, escalera",La niña sube a la escalera.,La niña sube las escaleras
263,"reyes, mago, traer, regalo",Los reyes magos traen regalo.,Los reyes magan tragos
264,"coger, tapón, de, botella",Coge el tapón de la botella.,Gano el tapón de la botella
265,"tres, osos, volver, casa",Los tres osos vuelven a casa.,Tres osos vuelven a casa
266,"gato, dormir, encima, guitarra",El gato duerme encima de la guitarra.,El gato duerme encima de la guitarra
267,"yo, querer, comer",Yo quiero comer.,Yo quiero comer
268,"mamá, le, comprar, muñeca, niño",La mamá le compra una muñeca a la niña.,La mamá le compra la muñeca al niño
269,"lobo, llamar, puerta",El lobo llama a la puerta.,Los lobos llaman a la puerta
270,"Ramón, me, regalar, un, rosa, rojo",Ramón me regaló una rosa roja.,Ramón me regala un rosa rojo
271,"caracol, Ramó, no, saber, como, vestir, se",El caracol Ramón no sabe como vestirse,El caracol ramo no sabe como vestirse
272,"policía, poner, un, multa",El policía puso una multa.,Los policías ponen un multa
273,"este, ser, Caperuza, Roja",Esta es Caperucita Roja.,Este ser Caperuza Roja
274,"cazador, asustar, lobo",El cazador asustó al lobo.,El cazador asalta los lobos
275,"abuelita, qué, orejas, grande, tener",Abuelita qué orejas grandes tienes.,La abuelita tiene orejas grandes
276,"Papá, Noel, ir, trineo, con, renos",Papá Noel va en trineo con renos.,El papá va al tren con los renos
277,"maleta, estar, salón",La maleta está en el salón.,Las maletas están en el salón
278,"ratita, comprar, un, lazo",La ratita compra un lazo.,La ratita compra un lazo
279,"niña, aplaudir, con, pies",La niña aplaude con los pies.,La niña aplaude con los pies
280,"niño, jugar, piscina",Los niños juegan en la piscina.,El niño juega en la piscina
281,"no, me, gustar, paté",No me gusta el paté.,No me gusta patear
282,"perro, dormir, en, cesta",El perro duerme en la cesta.,Los perros duermen en la cesta
283,"lobo, querer, comer, caperucita",El lobo quiere comer a caperucita.,Los lobos quieren comer la caperucita
284,"mujeres, se, vestir, de, mantilla",Las mujeres se visten de mantilla.,Las mujeres se visten de mantilla
285,"niños, ir, colegio, autobús",Los niños van al colegio en autobús.,Los niños van al colegio en el autobús
286,"dos, coches, chocar, calle",Dos coches chocan en la calle.,Dos coches chocan en la calle
287,"Juan, encontrar, castillo",Juan encontró un castillo.,Juan encontró el castillo
288,"me, romper, tobillo, en, tobogán",Me rompí el tobillo en el tobogán.,Me rompí el tobillo en el tobogán
289,"chico, nadar, en, mar",El chico nada en el mar.,El chico nada en el mar
